,Survived,Fare,FamilySize,Imputed,Pclass_2,Pclass_3,Sex_male,Age_Child,Age_Elder,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other
0,0,7.25,1,0,0,1,1,0,0,0,1,0,1,0,0
1,1,71.2833,1,0,0,0,0,0,0,0,0,0,0,1,0
2,1,7.925,0,0,0,1,0,0,0,0,1,1,0,0,0
3,1,53.1,1,0,0,0,0,0,0,0,1,0,0,1,0
4,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
5,0,8.4583,0,1,0,1,1,0,0,1,0,0,1,0,0
6,0,51.8625,0,0,0,0,1,0,1,0,1,0,1,0,0
7,0,21.075,4,0,0,1,1,1,0,0,1,0,0,0,0
8,1,11.1333,2,0,0,1,0,0,0,0,1,0,0,1,0
9,1,30.0708,1,0,1,0,0,0,0,0,0,0,0,1,0
10,1,16.7,2,0,0,1,0,1,0,0,1,1,0,0,0
11,1,26.55,0,0,0,0,0,0,1,0,1,1,0,0,0
12,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
13,0,31.275,6,0,0,1,1,0,0,0,1,0,1,0,0
14,0,7.8542,0,0,0,1,0,0,0,0,1,1,0,0,0
15,1,16.0,0,0,1,0,0,0,1,0,1,0,0,1,0
16,0,29.125,5,0,0,1,1,1,0,1,0,0,0,0,0
17,1,13.0,0,1,1,0,1,0,0,0,1,0,1,0,0
18,0,18.0,1,0,0,1,0,0,0,0,1,0,0,1,0
19,1,7.225,0,1,0,1,0,0,0,0,0,0,0,1,0
20,0,26.0,0,0,1,0,1,0,0,0,1,0,1,0,0
21,1,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
22,1,8.0292,0,0,0,1,0,0,0,1,0,1,0,0,0
23,1,35.5,0,0,0,0,1,0,0,0,1,0,1,0,0
24,0,21.075,4,0,0,1,0,1,0,0,1,1,0,0,0
25,1,31.3875,6,0,0,1,0,0,0,0,1,0,0,1,0
26,0,7.225,0,1,0,1,1,0,0,0,0,0,1,0,0
27,0,263.0,5,0,0,0,1,0,0,0,1,0,1,0,0
28,1,7.8792,0,1,0,1,0,0,0,1,0,1,0,0,0
29,0,7.8958,0,1,0,1,1,0,0,0,1,0,1,0,0
30,0,27.7208,0,0,0,0,1,0,0,0,0,0,0,0,1
31,1,146.5208,1,1,0,0,0,0,0,0,0,0,0,1,0
32,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
33,0,10.5,0,0,1,0,1,0,1,0,1,0,1,0,0
34,0,82.1708,1,0,0,0,1,0,0,0,0,0,1,0,0
35,0,52.0,1,0,0,0,1,0,0,0,1,0,1,0,0
36,1,7.2292,0,1,0,1,1,0,0,0,0,0,1,0,0
37,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
38,0,18.0,2,0,0,1,0,0,0,0,1,1,0,0,0
39,1,11.2417,1,0,0,1,0,0,0,0,0,1,0,0,0
40,0,9.475,1,0,0,1,0,0,0,0,1,0,0,1,0
41,0,21.0,1,0,1,0,0,0,0,0,1,0,0,1,0
42,0,7.8958,0,1,0,1,1,0,0,0,0,0,1,0,0
43,1,41.5792,3,0,1,0,0,1,0,0,0,1,0,0,0
44,1,7.8792,0,0,0,1,0,0,0,1,0,1,0,0,0
45,0,8.05,0,1,0,1,1,0,0,0,1,0,1,0,0
46,0,15.5,1,1,0,1,1,0,0,1,0,0,1,0,0
47,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
48,0,21.6792,2,1,0,1,1,0,0,0,0,0,1,0,0
49,0,17.8,1,0,0,1,0,0,0,0,1,0,0,1,0
50,0,39.6875,5,0,0,1,1,1,0,0,1,0,0,0,0
51,0,7.8,0,0,0,1,1,0,0,0,1,0,1,0,0
52,1,76.7292,1,0,0,0,0,0,0,0,0,0,0,1,0
53,1,26.0,1,0,1,0,0,0,0,0,1,0,0,1,0
54,0,61.9792,1,0,0,0,1,0,1,0,0,0,1,0,0
55,1,35.5,0,1,0,0,1,0,0,0,1,0,1,0,0
56,1,10.5,0,0,1,0,0,0,0,0,1,1,0,0,0
57,0,7.2292,0,0,0,1,1,0,0,0,0,0,1,0,0
58,1,27.75,3,0,1,0,0,1,0,0,1,1,0,0,0
59,0,46.9,7,0,0,1,1,1,0,0,1,0,0,0,0
60,0,7.2292,0,0,0,1,1,0,0,0,0,0,1,0,0
61,1,80.0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,0,83.475,1,0,0,0,1,0,0,0,1,0,1,0,0
63,0,27.9,5,0,0,1,1,1,0,0,1,0,0,0,0
64,0,27.7208,0,1,0,0,1,0,0,0,0,0,1,0,0
65,1,15.2458,2,1,0,1,1,0,0,0,0,0,0,0,0
66,1,10.5,0,0,1,0,0,0,0,0,1,0,0,1,0
67,0,8.1583,0,0,0,1,1,0,0,0,1,0,1,0,0
68,1,7.925,6,0,0,1,0,0,0,0,1,1,0,0,0
69,0,8.6625,2,0,0,1,1,0,0,0,1,0,1,0,0
70,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
71,0,46.9,7,0,0,1,0,0,0,0,1,1,0,0,0
72,0,73.5,0,0,1,0,1,0,0,0,1,0,1,0,0
73,0,14.4542,1,0,0,1,1,0,0,0,0,0,1,0,0
74,1,56.4958,0,0,0,1,1,0,0,0,1,0,1,0,0
75,0,7.65,0,0,0,1,1,0,0,0,1,0,1,0,0
76,0,7.8958,0,1,0,1,1,0,0,0,1,0,1,0,0
77,0,8.05,0,1,0,1,1,0,0,0,1,0,1,0,0
78,1,29.0,2,0,1,0,1,1,0,0,1,0,0,0,0
79,1,12.475,0,0,0,1,0,0,0,0,1,1,0,0,0
80,0,9.0,0,0,0,1,1,0,0,0,1,0,1,0,0
81,1,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
82,1,7.7875,0,1,0,1,0,0,0,1,0,1,0,0,0
83,0,47.1,0,0,0,0,1,0,0,0,1,0,1,0,0
84,1,10.5,0,0,1,0,0,0,0,0,1,1,0,0,0
85,1,15.85,3,0,0,1,0,0,0,0,1,0,0,1,0
86,0,34.375,4,0,0,1,1,0,0,0,1,0,1,0,0
87,0,8.05,0,1,0,1,1,0,0,0,1,0,1,0,0
88,1,263.0,5,0,0,0,0,0,0,0,1,1,0,0,0
89,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
90,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
91,0,7.8542,0,0,0,1,1,0,0,0,1,0,1,0,0
92,0,61.175,1,0,0,0,1,0,0,0,1,0,1,0,0
93,0,20.575,3,0,0,1,1,0,0,0,1,0,1,0,0
94,0,7.25,0,0,0,1,1,0,1,0,1,0,1,0,0
95,0,8.05,0,1,0,1,1,0,0,0,1,0,1,0,0
96,0,34.6542,0,0,0,0,1,0,1,0,0,0,1,0,0
97,1,63.3583,1,0,0,0,1,0,0,0,0,0,1,0,0
98,1,23.0,1,0,1,0,0,0,0,0,1,0,0,1,0
99,0,26.0,1,0,1,0,1,0,0,0,1,0,1,0,0
100,0,7.8958,0,0,0,1,0,0,0,0,1,1,0,0,0
101,0,7.8958,0,1,0,1,1,0,0,0,1,0,1,0,0
102,0,77.2875,1,0,0,0,1,0,0,0,1,0,1,0,0
103,0,8.6542,0,0,0,1,1,0,0,0,1,0,1,0,0
104,0,7.925,2,0,0,1,1,0,0,0,1,0,1,0,0
105,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
106,1,7.65,0,0,0,1,0,0,0,0,1,1,0,0,0
107,1,7.775,0,1,0,1,1,0,0,0,1,0,1,0,0
108,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
109,1,24.15,1,1,0,1,0,0,0,1,0,1,0,0,0
110,0,52.0,0,0,0,0,1,0,0,0,1,0,1,0,0
111,0,14.4542,1,0,0,1,0,0,0,0,0,1,0,0,0
112,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
113,0,9.825,1,0,0,1,0,0,0,0,1,1,0,0,0
114,0,14.4583,0,0,0,1,0,0,0,0,0,1,0,0,0
115,0,7.925,0,0,0,1,1,0,0,0,1,0,1,0,0
116,0,7.75,0,0,0,1,1,0,1,1,0,0,1,0,0
117,0,21.0,1,0,1,0,1,0,0,0,1,0,1,0,0
118,0,247.5208,1,0,0,0,1,0,0,0,0,0,1,0,0
119,0,31.275,6,0,0,1,0,1,0,0,1,1,0,0,0
120,0,73.5,2,0,1,0,1,0,0,0,1,0,1,0,0
121,0,8.05,0,1,0,1,1,0,0,0,1,0,1,0,0
122,0,30.0708,1,0,1,0,1,0,0,0,0,0,1,0,0
123,1,13.0,0,0,1,0,0,0,0,0,1,1,0,0,0
124,0,77.2875,1,0,0,0,1,0,1,0,1,0,1,0,0
125,1,11.2417,1,0,0,1,1,1,0,0,0,0,0,0,0
126,0,7.75,0,1,0,1,1,0,0,1,0,0,1,0,0
127,1,7.1417,0,0,0,1,1,0,0,0,1,0,1,0,0
128,1,22.3583,2,1,0,1,0,0,0,0,0,1,0,0,0
129,0,6.975,0,0,0,1,1,0,0,0,1,0,1,0,0
130,0,7.8958,0,0,0,1,1,0,0,0,0,0,1,0,0
131,0,7.05,0,0,0,1,1,0,0,0,1,0,1,0,0
132,0,14.5,1,0,0,1,0,0,0,0,1,0,0,1,0
133,1,26.0,1,0,1,0,0,0,0,0,1,0,0,1,0
134,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
135,0,15.0458,0,0,1,0,1,0,0,0,0,0,1,0,0
136,1,26.2833,2,0,0,0,0,0,0,0,1,1,0,0,0
137,0,53.1,1,0,0,0,1,0,0,0,1,0,1,0,0
138,0,9.2167,0,0,0,1,1,0,0,0,1,0,1,0,0
139,0,79.2,0,0,0,0,1,0,0,0,0,0,1,0,0
140,0,15.2458,2,1,0,1,0,0,0,0,0,0,0,1,0
141,1,7.75,0,0,0,1,0,0,0,0,1,1,0,0,0
142,1,15.85,1,0,0,1,0,0,0,0,1,0,0,1,0
143,0,6.75,0,0,0,1,1,0,0,1,0,0,1,0,0
144,0,11.5,0,0,1,0,1,0,0,0,1,0,1,0,0
145,0,36.75,2,0,1,0,1,0,0,0,1,0,1,0,0
146,1,7.7958,0,0,0,1,1,0,0,0,1,0,1,0,0
147,0,34.375,4,0,0,1,0,1,0,0,1,1,0,0,0
148,0,26.0,2,0,1,0,1,0,0,0,1,0,1,0,0
149,0,13.0,0,0,1,0,1,0,0,0,1,0,0,0,1
150,0,12.525,0,0,1,0,1,0,1,0,1,0,0,0,1
151,1,66.6,1,0,0,0,0,0,0,0,1,0,0,1,0
152,0,8.05,0,0,0,1,1,0,1,0,1,0,1,0,0
153,0,14.5,2,0,0,1,1,0,0,0,1,0,1,0,0
154,0,7.3125,0,1,0,1,1,0,0,0,1,0,1,0,0
155,0,61.3792,1,0,0,0,1,0,1,0,0,0,1,0,0
156,1,7.7333,0,0,0,1,0,0,0,1,0,1,0,0,0
157,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
158,0,8.6625,0,1,0,1,1,0,0,0,1,0,1,0,0
159,0,69.55,10,1,0,1,1,0,0,0,1,0,0,0,0
160,0,16.1,1,0,0,1,1,0,0,0,1,0,1,0,0
161,1,15.75,0,0,1,0,0,0,0,0,1,0,0,1,0
162,0,7.775,0,0,0,1,1,0,0,0,1,0,1,0,0
163,0,8.6625,0,0,0,1,1,0,0,0,1,0,1,0,0
164,0,39.6875,5,0,0,1,1,1,0,0,1,0,0,0,0
165,1,20.525,2,0,0,1,1,1,0,0,1,0,0,0,0
166,1,55.0,1,1,0,0,0,0,0,0,1,0,0,1,0
167,0,27.9,5,0,0,1,0,0,0,0,1,0,0,1,0
168,0,25.925,0,1,0,0,1,0,0,0,1,0,1,0,0
169,0,56.4958,0,0,0,1,1,0,0,0,1,0,1,0,0
170,0,33.5,0,0,0,0,1,0,1,0,1,0,1,0,0
171,0,29.125,5,0,0,1,1,1,0,1,0,0,0,0,0
172,1,11.1333,2,0,0,1,0,1,0,0,1,1,0,0,0
173,0,7.925,0,0,0,1,1,0,0,0,1,0,1,0,0
174,0,30.6958,0,0,0,0,1,0,1,0,0,0,1,0,0
175,0,7.8542,2,0,0,1,1,0,0,0,1,0,1,0,0
176,0,25.4667,4,1,0,1,1,0,0,0,1,0,0,0,0
177,0,28.7125,0,0,0,0,0,0,0,0,0,1,0,0,0
178,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
179,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0,0
180,0,69.55,10,1,0,1,0,0,0,0,1,1,0,0,0
181,0,15.05,0,1,1,0,1,0,0,0,0,0,1,0,0
182,0,31.3875,6,0,0,1,1,1,0,0,1,0,0,0,0
183,1,39.0,3,0,1,0,1,1,0,0,1,0,0,0,0
184,1,22.025,2,0,0,1,0,1,0,0,1,1,0,0,0
185,0,50.0,0,1,0,0,1,0,0,0,1,0,1,0,0
186,1,15.5,1,1,0,1,0,0,0,1,0,0,0,1,0
187,1,26.55,0,0,0,0,1,0,0,0,1,0,1,0,0
188,0,15.5,2,0,0,1,1,0,0,1,0,0,1,0,0
189,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
190,1,13.0,0,0,1,0,0,0,0,0,1,0,0,1,0
191,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
192,1,7.8542,1,0,0,1,0,0,0,0,1,1,0,0,0
193,1,26.0,2,0,1,0,1,1,0,0,1,0,0,0,0
194,1,27.7208,0,0,0,0,0,0,0,0,0,0,0,1,0
195,1,146.5208,0,0,0,0,0,0,1,0,0,1,0,0,0
196,0,7.75,0,1,0,1,1,0,0,1,0,0,1,0,0
197,0,8.4042,1,0,0,1,1,0,0,0,1,0,1,0,0
198,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
199,0,13.0,0,0,1,0,0,0,0,0,1,1,0,0,0
200,0,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
201,0,69.55,10,1,0,1,1,0,0,0,1,0,1,0,0
202,0,6.4958,0,0,0,1,1,0,0,0,1,0,1,0,0
203,0,7.225,0,0,0,1,1,0,0,0,0,0,1,0,0
204,1,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
205,0,10.4625,1,0,0,1,0,1,0,0,1,1,0,0,0
206,0,15.85,1,0,0,1,1,0,0,0,1,0,1,0,0
207,1,18.7875,0,0,0,1,1,0,0,0,0,0,1,0,0
208,1,7.75,0,0,0,1,0,0,0,1,0,1,0,0,0
209,1,31.0,0,0,0,0,1,0,0,0,0,0,1,0,0
210,0,7.05,0,0,0,1,1,0,0,0,1,0,1,0,0
211,1,21.0,0,0,1,0,0,0,0,0,1,1,0,0,0
212,0,7.25,0,0,0,1,1,0,0,0,1,0,1,0,0
213,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
214,0,7.75,1,1,0,1,1,0,0,1,0,0,1,0,0
215,1,113.275,1,0,0,0,0,0,0,0,0,1,0,0,0
216,1,7.925,0,0,0,1,0,0,0,0,1,1,0,0,0
217,0,27.0,1,0,1,0,1,0,0,0,1,0,1,0,0
218,1,76.2917,0,0,0,0,0,0,0,0,0,1,0,0,0
219,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
220,1,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
221,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
222,0,8.05,0,0,0,1,1,0,1,0,1,0,1,0,0
223,0,7.8958,0,1,0,1,1,0,0,0,1,0,1,0,0
224,1,90.0,1,0,0,0,1,0,0,0,1,0,1,0,0
225,0,9.35,0,0,0,1,1,0,0,0,1,0,1,0,0
226,1,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
227,0,7.25,0,0,0,1,1,0,0,0,1,0,1,0,0
228,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
229,0,25.4667,4,1,0,1,0,0,0,0,1,1,0,0,0
230,1,83.475,1,0,0,0,0,0,0,0,1,0,0,1,0
231,0,7.775,0,0,0,1,1,0,0,0,1,0,1,0,0
232,0,13.5,0,0,1,0,1,0,1,0,1,0,1,0,0
233,1,31.3875,6,0,0,1,0,1,0,0,1,1,0,0,0
234,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
235,0,7.55,0,1,0,1,0,0,0,0,1,1,0,0,0
236,0,26.0,1,0,1,0,1,0,0,0,1,0,1,0,0
237,1,26.25,2,0,1,0,0,1,0,0,1,1,0,0,0
238,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
239,0,12.275,0,0,1,0,1,0,0,0,1,0,1,0,0
240,0,14.4542,1,1,0,1,0,0,0,0,0,1,0,0,0
241,1,15.5,1,1,0,1,0,0,0,1,0,1,0,0,0
242,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
243,0,7.125,0,0,0,1,1,0,0,0,1,0,1,0,0
244,0,7.225,0,0,0,1,1,0,0,0,0,0,1,0,0
245,0,90.0,2,0,0,0,1,0,0,1,0,0,0,0,1
246,0,7.775,0,0,0,1,0,0,0,0,1,1,0,0,0
247,1,14.5,2,0,1,0,0,0,0,0,1,0,0,1,0
248,1,52.5542,2,0,0,0,1,0,0,0,1,0,1,0,0
249,0,26.0,1,0,1,0,1,0,1,0,1,0,0,0,1
250,0,7.25,0,1,0,1,1,0,0,0,1,0,1,0,0
251,0,10.4625,2,0,0,1,0,0,0,0,1,0,0,1,0
252,0,26.55,0,0,0,0,1,0,1,0,1,0,1,0,0
253,0,16.1,1,0,0,1,1,0,0,0,1,0,1,0,0
254,0,20.2125,2,0,0,1,0,0,0,0,1,0,0,1,0
255,1,15.2458,2,0,0,1,0,0,0,0,0,0,0,1,0
256,1,79.2,0,1,0,0,0,0,0,0,0,0,0,1,0
257,1,86.5,0,0,0,0,0,0,0,0,1,1,0,0,0
258,1,512.3292,0,0,0,0,0,0,0,0,0,1,0,0,0
259,1,26.0,1,0,1,0,0,0,0,0,1,0,0,1,0
260,0,7.75,0,1,0,1,1,0,0,1,0,0,1,0,0
261,1,31.3875,6,0,0,1,1,1,0,0,1,0,0,0,0
262,0,79.65,2,0,0,0,1,0,1,0,1,0,1,0,0
263,0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0
264,0,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
265,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
266,0,39.6875,5,0,0,1,1,0,0,0,1,0,1,0,0
267,1,7.775,1,0,0,1,1,0,0,0,1,0,1,0,0
268,1,153.4625,1,0,0,0,0,0,1,0,1,0,0,1,0
269,1,135.6333,0,0,0,0,0,0,0,0,1,1,0,0,0
270,0,31.0,0,1,0,0,1,0,0,0,1,0,1,0,0
271,1,0.0,0,0,0,1,1,0,0,0,1,0,1,0,0
272,1,19.5,1,0,1,0,0,0,0,0,1,0,0,1,0
273,0,29.7,1,0,0,0,1,0,0,0,0,0,1,0,0
274,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
275,1,77.9583,1,0,0,0,0,0,1,0,1,1,0,0,0
276,0,7.75,0,0,0,1,0,0,0,0,1,1,0,0,0
277,0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
278,0,29.125,5,0,0,1,1,1,0,1,0,0,0,0,0
279,1,20.25,2,0,0,1,0,0,0,0,1,0,0,1,0
280,0,7.75,0,0,0,1,1,0,1,1,0,0,1,0,0
281,0,7.8542,0,0,0,1,1,0,0,0,1,0,1,0,0
282,0,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
283,1,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
284,0,26.0,0,1,0,0,1,0,0,0,1,0,1,0,0
285,0,8.6625,0,0,0,1,1,0,0,0,0,0,1,0,0
286,1,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
287,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
288,1,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
289,1,7.75,0,0,0,1,0,0,0,1,0,1,0,0,0
290,1,78.85,0,0,0,0,0,0,0,0,1,1,0,0,0
291,1,91.0792,1,0,0,0,0,0,0,0,0,0,0,1,0
292,0,12.875,0,0,1,0,1,0,0,0,0,0,1,0,0
293,0,8.85,0,0,0,1,0,0,0,0,1,1,0,0,0
294,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
295,0,27.7208,0,1,0,0,1,0,0,0,0,0,1,0,0
